#{"t_start": 1754390739.1912675, "env_id": "None"}
r,l,t
57.883044,7,3.59753
107.256803,7,3.604177
269.931364,7,3.611131
116.039696,7,3.618289
33.069044,7,3.628108
480.691066,7,3.634524
549.46296,7,3.641472
18.170384,7,3.647649
166.353462,7,3.654097
475.401359,7,3.660154
143.086843,7,3.669673
-185.25491,7,3.676225
497.545309,7,3.683951
-162.934106,7,3.694458
-4.288391,7,3.702608
253.792904,7,3.71009
418.160603,7,3.718277
374.563154,7,3.726197
337.905844,7,3.733985
932.52351,7,3.741503
-230.511136,7,3.749356
98.408044,7,3.757733
279.230821,7,3.769234
-176.687135,7,3.777672
218.378757,7,3.790437
93.038063,7,3.801503
-34.963941,7,3.810486
-17.835957,7,3.816699
148.18523,7,3.823439
381.609702,7,3.830327
1166.735081,7,3.838231
-154.193632,7,3.846258
653.711944,7,3.855147
460.420137,7,3.864795
-95.886059,7,6.160178
783.752816,7,6.168414
575.035858,7,6.179082
480.951286,7,6.189457
204.224581,7,6.199033
240.584565,7,6.208679
142.277197,7,6.217976
449.587531,7,6.227862
275.292607,7,6.236412
20.972049,7,6.24975
-10.266736,7,6.261609
-185.14249,7,6.27058
-325.812622,7,6.283397
459.746207,7,6.295033
296.397268,7,6.303856
87.407719,7,6.313246
-169.602241,7,6.322588
160.701387,7,6.334147
478.592173,7,6.344602
60.879152,7,6.353972
290.688382,7,6.366167
346.279704,7,6.374648
653.217648,7,6.383017
-139.8696,7,6.394032
-63.437273,7,6.402169
263.265162,7,6.412896
602.49,7,6.420609
263.364325,7,6.429759
21.827532,7,6.438933
-102.997424,7,6.450022
181.334469,7,6.457978
129.380491,7,6.466949
697.231636,7,6.474536
584.627318,7,6.483645
77.25321,7,6.494929
212.627756,7,6.50279
393.547304,7,6.513056
-13.494623,7,6.522062
541.641421,7,6.530254
393.184247,7,6.541003
117.021478,7,6.550037
262.344782,7,6.559013
321.656823,7,6.569799
69.898845,7,6.577897
-74.387798,7,6.586288
460.607505,7,6.597306
-221.498456,7,6.605478
782.270229,7,6.615463
3.555229,7,6.625285
-99.053962,7,6.636152
754.453477,7,6.645226
615.302922,7,6.655042
1123.012045,7,6.664819
682.077299,7,6.678022
360.896595,7,6.693057
165.664733,7,6.707403
141.703957,7,6.721657
228.667512,7,6.734715
-22.825764,7,6.75016
-7.741591,7,6.760826
-11.446176,7,6.773725
319.37976,7,6.784699
253.579565,7,6.800098
-16.585005,7,6.814489
399.043231,7,6.827768
99.735141,7,6.84001
119.709071,7,6.851542
487.930136,7,6.864009
369.333991,7,6.875706
-51.744927,7,6.88779
788.391182,7,6.906621
448.630672,7,6.922976
24.144327,7,6.936241
5.543588,7,6.948266
771.876497,7,6.957836
-215.968553,7,6.967887
940.500309,7,6.979372
502.134143,7,6.98859
528.945565,7,6.998623
40.109364,7,7.011471
202.668223,7,7.019814
267.334974,7,7.031811
64.581615,7,7.040779
38.092276,7,7.051359
550.970913,7,7.112125
772.220239,7,7.122427
112.786192,7,7.132236
341.937717,7,7.142849
93.154288,7,7.151173
-13.435476,7,7.161963
374.710224,7,7.170331
-136.184377,7,7.179722
408.447988,7,7.188051
228.499624,7,7.197579
299.991338,7,7.207748
-98.450821,7,7.216902
254.969757,7,7.227982
-53.605109,7,7.235779
438.525793,7,7.244548
248.697228,7,7.253703
-131.886281,7,7.26457
585.915704,7,7.273249
50.668475,7,7.282287
33.176205,7,7.291127
82.078594,7,7.298883
-316.069579,7,7.308285
40.173975,7,7.317364
-393.604564,7,7.326297
-137.626638,7,7.337592
-180.842341,7,7.346265
264.090952,7,7.355102
176.649846,7,7.363277
13.906233,7,7.373876
362.862662,7,7.38195
679.421067,7,7.394229
822.170878,7,7.401462
270.427602,7,7.409404
222.089932,7,7.419523
127.468458,7,7.427911
130.956262,7,7.435545
427.302689,7,7.448294
270.734326,7,7.457355
494.369639,7,7.466257
-158.256953,7,7.475688
-27.797858,7,7.486244
177.019541,7,7.494592
235.621606,7,7.502817
677.00695,7,7.511944
320.812468,7,7.522285
464.807706,7,7.529651
358.919806,7,7.538598
-90.521465,7,7.548315
504.009537,7,7.556361
-36.977508,7,7.567967
900.31813,7,7.577252
77.592202,7,7.587003
455.763102,7,7.597694
393.568466,7,7.606124
31.943999,7,7.614825
-316.901925,7,7.623922
-0.642857,7,7.632524
617.974865,7,7.641207
442.57598,7,7.650986
445.150966,7,7.661098
914.214568,7,7.66811
-202.675769,7,7.678317
871.025599,7,7.684857
372.140707,7,7.695271
30.588418,7,7.702715
802.176129,7,7.71101
-126.232798,7,7.719333
-27.750019,7,7.730431
1194.698876,7,7.740808
145.21416,7,7.748413
-342.794451,7,7.757745
129.017599,7,7.766309
549.270033,7,7.777404
564.087511,7,7.785072
-207.451038,7,7.795786
546.706713,7,7.809165
-124.019452,7,7.817493
527.583062,7,7.827911
444.542987,7,7.83691
728.197203,7,7.846159
180.834989,7,7.855867
-153.091551,7,7.864996
174.580452,7,7.874517
128.675404,7,7.883195
716.296486,7,7.893882
1021.359591,7,7.903979
840.321169,7,7.914828
492.39907,7,7.922888
94.995805,7,7.933346
1117.170581,7,7.945425
163.656944,7,7.953038
62.361412,7,7.964324
246.692934,7,7.973476
136.681142,7,7.981586
427.061262,7,7.989865
682.934916,7,8.002072
476.725801,7,8.01235
723.621194,7,8.024523
9.022529,7,8.033155
254.226378,7,8.042308
605.246116,7,8.051219
-102.022601,7,8.060834
435.575799,7,8.068803
190.155496,7,8.079273
362.617828,7,8.087076
934.268399,7,8.095426
732.301338,7,8.102408
309.93643,7,8.11114
233.164514,7,8.118133
161.82657,7,8.128661
470.549829,7,8.138619
331.97325,7,8.148887
578.641218,7,8.159582
154.16996,7,8.167819
546.022705,7,8.176983
118.842137,7,8.185549
664.303749,7,8.19712
224.596645,7,8.207061
-119.478774,7,8.218589
226.447995,7,8.226775
353.316689,7,8.236164
560.717078,7,8.246578
286.201154,7,8.253856
486.75082,7,8.262554
74.495589,7,8.271867
746.465766,7,8.281139
-208.322754,7,8.290392
-113.578206,7,8.299728
-26.146701,7,8.308924
60.879612,7,8.317564
379.63417,7,8.3295
897.993175,7,8.337898
-163.907584,7,8.346608
913.78753,7,8.357622
83.376523,7,8.367184
113.96996,7,8.376931
696.499497,7,8.385666
1072.616362,7,8.393499
140.20189,7,8.401487
-290.650385,7,8.409822
785.867926,7,8.416734
298.339734,7,8.423219
354.993283,7,8.430678
323.120454,7,8.439421
290.369899,7,8.449605
499.529052,7,8.457142
198.655234,7,8.468644
304.748971,7,8.47787
838.821672,7,8.485359
845.44489,7,8.493073
712.796864,7,8.499961
-3.140744,7,8.507395
240.676643,7,8.516061
345.468103,7,8.524288
289.549008,7,8.531987
-5.102233,7,8.540297
706.063571,7,8.549996
35.145618,7,8.557554
-484.137303,7,8.567389
452.009956,7,8.578932
-53.582849,7,8.587973
360.790325,7,8.599402
1280.636635,7,8.610593
-5.446447,7,8.620338
549.395679,7,8.629825
268.966421,7,8.638504
-35.981897,7,8.648786
584.743401,7,8.658351
-94.009372,7,8.670563
602.736713,7,8.681291
711.824645,7,8.694439
-48.861325,7,8.706411
382.755482,7,8.715839
4.030127,7,8.726717
780.238528,7,8.736643
